locName,obsDt,howMany,fieldNotes,userId,speciesId
UVM campus,2024-03-03 11:56,1,none,c9334181-5b04-4e5d-a11f-30996c127b6c,2f99961e-c561-4c95-ae2a-f8ddf03ac898
"613 Hardwick St, East Hardwick US-VT 44.53491, -72.30154",2024-03-03 11:54,100,none,c9334181-5b04-4e5d-a11f-30996c127b6c,3c6312b9-e088-41e5-804d-215b64a4ceea
"I-89 N, Milton US-VT 44.65314, -73.13942",2024-03-03 11:44,1,none,c9334181-5b04-4e5d-a11f-30996c127b6c,1a5b7f8c-f7b8-4180-8608-8253c7a2560c
"2928–3188 US Rte 7 S, Wallingford US-VT 43.42197, -72.98999",2024-03-03 11:36,11,none,c9334181-5b04-4e5d-a11f-30996c127b6c,c3c8c24b-605d-413b-b848-5d4c4251f7f2
"2928–3188 US Rte 7 S, Wallingford US-VT 43.42197, -72.98999",2024-03-03 11:36,1,none,c9334181-5b04-4e5d-a11f-30996c127b6c,6cd9367c-7970-4996-bf37-0a30664008cc
"Yard & Lake Overlook 1067 Marble Island Road, Colchester, Vermont, US (44.566, -73.237)",2024-03-03 11:33,2,none,c9334181-5b04-4e5d-a11f-30996c127b6c,6a237350-49ee-416e-852f-5b42f2c2cfe9
"Yard & Lake Overlook 1067 Marble Island Road, Colchester, Vermont, US (44.566, -73.237)",2024-03-03 11:33,19,none,c9334181-5b04-4e5d-a11f-30996c127b6c,aec3d57b-d64b-416e-a96f-b33db8a73bd5
"Yard & Lake Overlook 1067 Marble Island Road, Colchester, Vermont, US (44.566, -73.237)",2024-03-03 11:33,2,none,c9334181-5b04-4e5d-a11f-30996c127b6c,c848a574-a704-433f-8ea5-5c92e14fb604
"Yard & Lake Overlook 1067 Marble Island Road, Colchester, Vermont, US (44.566, -73.237)",2024-03-03 11:33,1,none,c9334181-5b04-4e5d-a11f-30996c127b6c,cfd4b04a-acc7-46a1-8eb2-24db1710da14
"Yard & Lake Overlook 1067 Marble Island Road, Colchester, Vermont, US (44.566, -73.237)",2024-03-03 11:33,2,none,c9334181-5b04-4e5d-a11f-30996c127b6c,38b4ffcf-bc7e-410f-af6f-2fcb874a063a
"Yard & Lake Overlook 1067 Marble Island Road, Colchester, Vermont, US (44.566, -73.237)",2024-03-03 11:33,2,none,c9334181-5b04-4e5d-a11f-30996c127b6c,8361b1dd-57a0-41df-958b-7e30c2c6a13a
"Yard & Lake Overlook 1067 Marble Island Road, Colchester, Vermont, US (44.566, -73.237)",2024-03-03 11:33,4,none,c9334181-5b04-4e5d-a11f-30996c127b6c,620dc349-a59f-4e29-a5cb-5d9357a4cb3c
"47–67 Westminster West Rd, Bellows Falls US-VT 43.13193, -72.51919",2024-03-03 11:23,1,none,c9334181-5b04-4e5d-a11f-30996c127b6c,fe6beba5-3c42-4287-ba42-2d6b010e12ae
"47–67 Westminster West Rd, Bellows Falls US-VT 43.13193, -72.51919",2024-03-03 11:23,2,none,c9334181-5b04-4e5d-a11f-30996c127b6c,7a6f4f00-37ba-4945-99fa-3005598d819c
"47–67 Westminster West Rd, Bellows Falls US-VT 43.13193, -72.51919",2024-03-03 11:23,2,none,c9334181-5b04-4e5d-a11f-30996c127b6c,73cdabd7-6b29-4a57-84ce-c4c4bafa2114
"47–67 Westminster West Rd, Bellows Falls US-VT 43.13193, -72.51919",2024-03-03 11:23,2,none,c9334181-5b04-4e5d-a11f-30996c127b6c,d9811031-4b31-4bec-8878-cee08e447f3a
"47–67 Westminster West Rd, Bellows Falls US-VT 43.13193, -72.51919",2024-03-03 11:23,1,none,c9334181-5b04-4e5d-a11f-30996c127b6c,f867b862-9f20-45a9-a8cf-f59bc4b35985
"47–67 Westminster West Rd, Bellows Falls US-VT 43.13193, -72.51919",2024-03-03 11:23,1,none,c9334181-5b04-4e5d-a11f-30996c127b6c,a0975ebb-41ba-49c0-beaa-c3a03439e3f3
"47–67 Westminster West Rd, Bellows Falls US-VT 43.13193, -72.51919",2024-03-03 11:23,3,none,c9334181-5b04-4e5d-a11f-30996c127b6c,5bcc1b52-0280-41d2-ba77-0f2abd5030bb
"47–67 Westminster West Rd, Bellows Falls US-VT 43.13193, -72.51919",2024-03-03 11:23,1,none,c9334181-5b04-4e5d-a11f-30996c127b6c,3cecff34-8285-44f0-a8b2-290cb54df88a